trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'e': 0.8632939774163194, 'a': 0.001}",25,0,-171.11814260284442,"{0: 13, 1: 4, 2: 3, 3: 3, 4: 2}",0
149,False,"{'e': 0.8624311149420455, 'a': 0.001}",30,0,-171.2923920453967,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
150,False,"{'e': 0.8615691148989583, 'a': 0.001}",25,0,-88.53076761312245,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
151,False,"{'e': 0.8607079764250578, 'a': 0.001}",20,0,-140.6437012267398,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
152,False,"{'e': 0.8598476986592055, 'a': 0.001}",20,0,-57.15038767617946,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
153,False,"{'e': 0.8589882807411234, 'a': 0.001}",20,0,-152.12471048746065,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
154,False,"{'e': 0.8581297218113938, 'a': 0.001}",30,0,-165.6143839239023,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
155,False,"{'e': 0.8572720210114575, 'a': 0.001}",20,3,-42.861868993302856,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
156,False,"{'e': 0.8564151774836135, 'a': 0.001}",25,0,-77.62014998140455,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
157,False,"{'e': 0.8555591903710185, 'a': 0.001}",20,0,-2.9600903245494092,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
158,False,"{'e': 0.8547040588176851, 'a': 0.001}",20,12,-7.809633586973918,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'e': 0.8538497819684817, 'a': 0.001}",20,0,-116.54634151728729,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
160,False,"{'e': 0.8529963589691315, 'a': 0.001}",20,0,-60.35978122382423,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
161,False,"{'e': 0.8521437889662113, 'a': 0.001}",30,0,-96.76199288862446,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
162,False,"{'e': 0.8512920711071511, 'a': 0.001}",20,0,-62.18968822236676,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
163,False,"{'e': 0.850441204540233, 'a': 0.001}",25,10,-88.52672289445763,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 2}",1
164,False,"{'e': 0.8495911884145902, 'a': 0.001}",25,0,-38.89312708877146,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
165,False,"{'e': 0.8487420218802068, 'a': 0.001}",20,0,-122.267338522106,"{0: 12, 1: 2, 2: 1, 3: 4, 4: 1}",0
166,False,"{'e': 0.8478937040879159, 'a': 0.001}",35,0,-159.1337550681925,"{0: 23, 1: 6, 2: 3, 3: 0, 4: 3}",0
